教授姓名,课题组名称,所在单位,国家/地区,实验室主页,研究关键词,主要研究方向,代表性成果,代表性论文/平台/数据库/软件,使用的 AI 方法,是否涉及 polymer informatics,是否涉及 self-driving lab,是否涉及 generative design,是否涉及 machine learning potentials,是否涉及 soft actuators / soft robotics,与 LCE 的相关性,与智能高分子材料的相关性,与柔性执行器的相关性,推荐关注等级,为什么值得关注,可靠来源链接
Aron Walsh / Alex Ganose,Materials Design / AI for Materials,Imperial College London,英国,https://www.imperial.ac.uk/materials/research/ai-for-materials/,AI for materials; computational materials design; generative AI; workflows; electronic materials,计算材料设计、AI 材料模型、数据/工作流和可解释材料发现，主要面向无机/能源/功能材料。,材料模型共享表示空间、计算材料设计和材料数据工作流，Alex Ganose 参与开源材料工具与电子结构分析。,Imperial AI for materials theme; AI models common language; computational materials design papers/tools,图模型、表示学习、生成式 AI、自动化计算工作流、可解释 ML,较少,部分,是,部分,较少,低中：对象远，但模型互操作、表示学习和计算工作流值得借鉴。,中,低中,方法值得借鉴,适合学习 AI for Materials 工具链和表征学习，但不应作为 LCE 方向主要对标。,https://www.imperial.ac.uk/materials/research/ai-for-materials/ ; https://www.imperial.ac.uk/news/articles/engineering/materials/2026/imperial-study-finds-ai-models-share-a-common-language-for-materials-/ ; https://aronwalsh.github.io/
Shyue Ping Ong,Materials Virtual Lab,UC San Diego（用户名单写 NUS，需核实；当前公开主页为 UCSD）,美国/新加坡籍学者,https://materialsvirtuallab.org/,materials informatics; pymatgen; atomate; matminer; Materials Project; workflows,材料信息学、自动化第一性原理工作流、数据库、pymatgen/atomate/matminer 等开源工具。,pymatgen 创始/维护、Materials Project 早期基础设施、Materials Virtual Lab 工具链。,pymatgen; matminer; atomate2; Materials Project API,特征工程、工作流自动化、数据挖掘、计算数据库、机器学习模型,否/少,否,有限,部分,否/少,低中：对象偏无机，但数据结构、API、工作流管理对自建 LCE 数据平台极有用。,中,低中,方法值得借鉴,学习如何把材料数据、计算、模型和软件变成可复用基础设施。,https://materialsvirtuallab.org/ ; https://pymatgen.org/ ; https://www.sciencedirect.com/science/article/pii/S0927025618303252
Boris Kozinsky,Materials Intelligence Research Group,Harvard University,美国,https://mir.g.harvard.edu/,machine learning potentials; NequIP; Allegro; FLARE; active learning; atomistic simulation,第一性原理、机器学习势、主动学习和大规模分子动力学，研究复杂材料的输运、反应和界面动力学。,NequIP/Allegro 等等变神经网络势，FLARE Bayesian force fields，十亿原子级反应动力学模拟。,MIR group; NequIP/Allegro/FLARE; unified ML potential energy/polarization models,等变神经网络势、Gaussian process/Bayesian force fields、主动学习、不确定性量化、大规模 MLMD,部分,否,否,是,间接,中：可用于 LCE 单体/界面/链段微观相互作用，但距离器件尺度远。,中,低中,方法值得借鉴,适合学习原子尺度模型如何与主动学习结合；对 LCE 需粗粒化/多尺度桥接。,https://mir.g.harvard.edu/people/boris-kozinsky ; https://mir.g.harvard.edu/people/open-positions ; https://www.mrsec.harvard.edu/pages/news-2025-nsf-mrsec-Modeling-electric-response-of-materials.php
Michele Ceriotti,Laboratory of Computational Science and Modelling (COSMO),EPFL,瑞士,https://cosmo.epfl.ch/,machine learning atomic simulation; atomistic modelling; statistical mechanics; SOAP; ML potentials,发展统计力学、机器学习和原子尺度模拟方法，用于分子和材料结构—性能关系。,SOAP/原子环境表示、无监督原子模拟分析、ML 原子尺度模型综述、COSMO 工具与方法。,Machine learning at the atomic-scale; Beyond potentials; Unsupervised machine learning in atomistic simulations,原子环境描述符、核方法、无监督学习、ML 势、结构表示、统计采样,部分,否,否,是,间接,中：可借鉴分子/介晶局部结构表征和相变分析，不是直接执行器方向。,中,低中,方法值得借鉴,是机器学习原子模拟方法论标杆，适合作为 LCE 分子模拟的底层方法库。,https://people.epfl.ch/michele.ceriotti?lang=en ; https://www.epfl.ch/labs/cosmo/ ; https://arxiv.org/abs/2012.04616 ; https://arxiv.org/abs/2208.06139
Philipp Rothemund,Functional Soft Robotic Matter,University of Stuttgart,德国,https://www.iams.uni-stuttgart.de/institute/team/Rothemund/,electrohydraulic soft actuators; HASEL; soft robotic matter; energy efficiency; modeling,功能软机器人材料、电液软执行器、软静电执行器能效、可重构高速机器人模块和软机器人智能控制。,可降解电液执行器、六边形电液模块、高频软逻辑门、软执行器能效模型。,Biodegradable electrohydraulic actuators; Hexagonal electrohydraulic modules; Physical control in soft robotics; soft electrostatic actuator energy efficiency,建模优化、物理控制，AI 使用不是主线,是/弹性体,否,否,否,是,中：不是 LCE，但软执行器性能指标、能效、模块化器件设计非常可迁移。,高,高,高度相关,执行器端标杆，可帮助定义 LCE 人工肌肉的性能评价和器件架构。,https://www.iams.uni-stuttgart.de/institute/team/Rothemund/ ; https://www.science.org/doi/10.1126/scirobotics.adl3546 ; https://doi.org/10.1073/pnas.2527676123
Kevin Pikul,Pikul Research Group,University of Wisconsin–Madison,美国,https://pikulgroup.engr.wisc.edu/,soft actuators; soft sensors; shape transformable materials; visuotactile sensing; bioinspired surfaces,软执行器、软传感、仿生可变形表面、可编程形变材料和机器人材料。,章鱼/头足类启发形变表面，软执行器与传感器，RGB/ToF/触觉融合软传感。,Soft Actuators and Sensors; electroadhesive clutches; multimodal visuotactile sensor,建模、传感数据处理、机器人感知；ML 不是主线但可结合机器视觉,是/弹性体,否,有限,否,是,中高：形变表面、软传感和仿生执行器指标适合 LCE 器件迁移。,高,高,高度相关,与“人工肌肉/自感知软执行器”应用端高度契合，可对标器件评价。,https://pikulgroup.engr.wisc.edu/research/soft-actuators-and-sensors/ ; https://pikulgroup.engr.wisc.edu/ ; https://scholar.google.com/citations?user=waC_84EAAAAJ
Stefan Seelecke / Gianluca Rizzello,Intelligent Material Systems Lab / Smart Material Systems,Saarland University,德国,https://imsl.de/,dielectric elastomer actuators; smart materials; actuator modelling; self-sensing control; soft robotics,智能材料执行器/传感器、介电弹性体人工肌肉、模型化设计、自感知控制和软机器人。,三维介电弹性体软触手机器人项目、软聚合物圆顶模型优化、可变刚度 DEA 交互控制。,DEA SOFT ROBOTS SPP2100; Model-Based Design Optimization of Soft Polymeric Domes; Robust interaction control of DEA,物理建模、系统辨识、优化控制、自感知控制；ML 可作为增强工具,是,否,否,否,是,中高：同属智能聚合物执行器，建模/自感知控制对 LCE 人工肌肉很有用。,高,高,高度相关,非常适合作为智能材料驱动、建模、控制和自感知方向对标。,https://www.spp2100.de/project/dea-soft-robots ; https://publikationen.sulb.uni-saarland.de/bitstream/20.500.11880/31799/1/actuators-10-00209-v2.pdf ; https://arxiv.org/abs/2112.10440
Kristina Shea,Computational Design Laboratory,ETH Zurich,瑞士,https://cdl.ethz.ch/,computational design; generative design; optimization; computational fabrication; 4D printing,交互式设计、几何处理、计算制造、工程设计计算和结构优化。,计算设计实验室、生成式设计、可制造结构与机器人结构，涉及 4D printing 和软机器人相关设计。,Computational Design Laboratory; generative design/4D printing works; ETH Engineering Design and Computing,优化算法、生成式设计、几何处理、仿真驱动设计,部分,否,是,否,部分,中：取向图案、几何结构、4D 打印路径和可编程结构设计可迁移。,中高,中高,方法值得借鉴,对“材料—结构—器件一体化设计”的计算设计层很有价值。,https://cdl.ethz.ch/ ; https://ethz.ch/en/the-eth-zurich/organisation/who-is-who/mavt/details.MjI4NzY=.TGlzdC8xNTg0LDIwNDExODE0NTg=.html ; https://en.wikipedia.org/wiki/Kristina_Shea
Robert Katzschmann,Soft Robotics Lab,ETH Zurich,瑞士,https://srl.ethz.ch/,soft robotics; artificial muscles; soft robot fabrication; vision-controlled jetting; control and learning,软机器人、生物混合机器人、电/流体驱动、建模控制和机器学习算法，强调仿生机器与人工肌肉。,vision-controlled jetting 复合机器人打印、静音人工肌肉、软机器人建模控制和学习。,Vision-controlled jetting for composite systems and robots; NCCR SRL; modular soft robotic fish,机器视觉闭环制造、模型/无模型控制、机器学习控制、仿真优化,是/软材料,部分（制造闭环）,有限,否,是,高：虽非 LCE 材料本体，但机器视觉闭环打印和人工肌肉应用端非常契合。,高,高,必须重点学习,是“机器视觉 + 软机器人制造 + 人工肌肉应用”的重要对标，可补足 Polymer Genome 的器件端短板。,https://srl.ethz.ch/ ; https://robert.katzschmann.de/ ; https://www.nature.com/articles/s41586-023-06684-3 ; https://nccr-robotics.ch/laboratory/soft-robotics-lab/
Timothy Swager,The Swager Group,Massachusetts Institute of Technology,美国,https://swagergroup.mit.edu/,polymer sensing materials; conducting polymers; chemical sensors; Bayesian optimization; continuous flow,功能高分子、分子/纳米线传感、导电聚合物和 CNT 化学传感，近年结合连续流与贝叶斯优化。,分子线/导电聚合物传感放大、聚合物包覆 CNT 传感器、连续流+贝叶斯优化甲烷传感材料。,Continuous Flow Chemistry and Bayesian Optimization for Polymer-Functionalized CNT Methane Sensors; Molecular and Nanowire Based Sensors; Sensor Technologies Empowered by Materials and Molecular Innovations,贝叶斯优化、主动学习、连续流参数优化、传感信号分析,是,部分,否,否,部分/柔性传感,中：不是 LCE，但环境响应、自感知和柔性传感材料高度相关。,高,中高：可为自感知 LCE 执行器提供传感材料思路。,高度相关,适合将 LCE 执行器从“形变材料”拓展为“环境响应/自感知器件”。,https://swagergroup.mit.edu/research ; https://swagergroup.mit.edu/research/molecular-and-nanowire-based-sensors/ ; https://swagergroup.mit.edu/continuous-flow-chemistry-and-bayesian-optimization-polymer-functionalized-carbon-nanotube-based
Timothy J. White,White Research Group,University of Colorado Boulder,美国,https://www.colorado.edu/lab/white/,liquid crystal elastomers; 4D printing; photomechanical materials; soft actuators; programmable shape change,LCE、液晶网络、光/热响应形变、4D 打印和可编程软材料。,LCE 4D 打印、光响应聚合物网络、可编程形变结构和软执行器。,Liquid Crystal Elastomers and Networks; 4D printed LCE actuators; photomechanical LCN/LCE works,AI 不是主线；可作为领域数据源和器件对标,是,否,否,否,是,极高：LCE 直接核心。,高,高,必须重点学习（补充）,虽然不是 AI 组，但作为 LCE/4D 打印执行器领域核心组，应作为数据集和应用指标来源。,https://www.colorado.edu/lab/white/ ; https://www.colorado.edu/mechanical/timothy-white ; https://scholar.google.com/citations?user=Jq2TzQwAAAAJ
Ryan C. Hayward,Hayward Group,University of Colorado Boulder,美国,https://www.colorado.edu/lab/hayward/,responsive polymers; hydrogel; liquid crystal elastomers; shape morphing; soft materials,刺激响应高分子、水凝胶、LCE/LCN、薄膜不稳定性和可编程形变软材料。,响应性聚合物图案化、形变薄膜、光/热响应软材料、软材料力学。,responsive polymer and LCE/LCN shape morphing papers; Hayward group research,AI 不是主线；适合作为物理机制和数据来源,是,否,否,否,是,极高：LCE/响应性软材料直接相关。,高,高,必须重点学习（补充）,对 LCE 形变机理、响应高分子和机器视觉可量化指标最直接；AI 需由你引入。,https://www.colorado.edu/lab/hayward/ ; https://www.colorado.edu/chbe/ryan-hayward ; https://scholar.google.com/citations?user=q4vQm2EAAAAJ
Arri Priimagi,Smart Photonic Materials / Priimagi Group,Tampere University,芬兰,https://research.tuni.fi/spm/,photoresponsive liquid crystal networks; light-driven actuators; azobenzene; soft robotics; photonics,光响应液晶网络、偶氮苯材料、光驱动软执行器、可编程光子软材料。,光驱动 LCN/LCE 执行器、光控软机器人与液晶网络形变。,Smart Photonic Materials group; azobenzene LCN actuators; light-fueled soft robotics works,AI 不是主线；适合作为光驱动 LCE/LCN 数据源,是,否,否,否,是,极高：光响应 LCN/LCE 直接相关。,高,高,必须重点学习（补充）,如果你的 LCE 包含光响应/取向图案，该组比多数泛 AI 组更接近研究对象。,https://research.tuni.fi/spm/ ; https://www.tuni.fi/en/arri-priimagi ; https://scholar.google.com/citations?user=xZA4VjwAAAAJ
Sergei Kalinin,AI for Autonomous Experiments / Microscopy,University of Tennessee / ORNL background,美国,https://mse.utk.edu/people/sergei-kalinin/,autonomous microscopy; physics-informed AI; automated experiments; image analysis; active learning,AI 驱动的自主显微表征、物理约束机器学习、主动实验和图像数据分析。,自主扫描探针/电子显微实验、材料图像分析和闭环表征。,autonomous microscopy and physics-informed ML publications; SDL perspective papers,主动学习、强化学习、物理约束 ML、计算机视觉、自动表征,较少,是（表征端）,有限,部分,较少,中：可迁移到偏光显微、热台视频、形变图像和闭环表征策略。,中,中高,方法值得借鉴（补充）,对“机器视觉表征与闭环优化”部分非常有帮助，尽管材料对象常偏无机/显微。,https://mse.utk.edu/people/sergei-kalinin/ ; https://www.ornl.gov/staff-profile/sergei-v-kalinin ; https://scholar.google.com/citations?user=-cuxoSQAAAAJ
